"L.p.","Nr pow","Powiat","Organizator","Nazwa wtz","Ulica","Miejscowość","Kod","Poczta","Data utworzenia wtz"
"444","238","kartuski","Fundacja Słoneczne Wzgórze w Stężycy","Warsztat Terapii Zajęciowej","Kartuska 73 a","Stężyca","83322","Stężyca","07-16-18"
"445","239","kościerski","Fundacja ""Sprawni Inaczej"" Oddział w Kościerzynie","Warsztat Terapii Zajęciowej","Słoneczna 1","Kościerzyna","83400","Kościerzyna","12-17-12"
"446","240","kwidzyński","Stowarzyszenie Pomocy Społecznej ""Słoneczne Wzgórze"" w Ryjewie","Warsztat Terapii Zajęciowej","Słoneczna 14","Ryjewo","82420","Ryjewo","08-07-97"
"447","240","kwidzyński","Fundacja ""Misericordia""","Warsztat Terapii Zajęciowej","","Górki 4","82500","Kwidzyn","08-24-97"
"448","241","lęborski","Stowarzyszenie Pomocy Dzieciom Niepełnosprawnym ""Jesteśmy Razem""","Warsztat Terapii Zajęciowej","Krzywoustego 1","Lębork","84300","Lębork","12-30-18"
"449","242","malborski","Dom Pomocy Społecznej","Warsztat Terapii Zajęciowej","Slowackiego 45","Malbork","82200","Malbork","07-02-99"
"450","242","malborski","Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Słoneczny Promyk""","Warsztat Terapii Zajęciowej","","Dębina 48","82230","Dębina","12-02-09"
"451","243","nowodworski","Stowarzyszenie ""Sprawni Inaczej""","Warsztat Terapii Zajęciowej","Kościuszki 23","Nowy Dwór Gdański","82100","Nowy Dwór Gdański","05-01-97"
"452","243","nowodworski","Stowarzyszenie dla Osób Niepełnosprawnych  ""Pomocna Dłoń""","Warsztat Terapii Zajęciowej","Główna 12","Marzęcino","82100","Nowy Dwór Gdański","09-08-98"
"453","243","nowodworski","Stowarzyszenie Przyjaciół Niepełnosprawnych ""Dar""","Warsztat Terapii Zajęciowej","Gdańska 38","Jantar","82103","Stegna","12-17-06"
"454","244","pucki","Puckie Stowarzyszenie Wspierające Osoby Niepełnosprawne ""Razem""","Warsztat Terapii Zajęciowej ""Razem""","Mestwina 32","Puck","84100","Puck","12-04-03"
"455","245","słupski","Caritas Diecezji Koszalińsko-Kołobrzeskiej","Warsztat Terapii Zajęciowej w Sycewicach","Słupska 11","Sycewice","76251","Kobylnica","01-31-21"
"456","246","starogardzki","Stowarzyszenie Przyjaciół Osób Niepełnosprawnych i Potrzebujących Wsparcia","Warsztat Terapii Zajęciowej","Lalkowy 10","Lalkowy","83230","Smętowo Graniczne","12-16-10"
"457","246","starogardzki","Caritas Diecezji Pelplińskiej","Warsztat Terapii Zajęciowej Caritas","Kościelna 5","Skórcz","83220","Skórcz","12-17-02"
"458","246","starogardzki","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Skarszewach","Warsztat Terapii Zajęciowej","Kościerska 11 a","Skarszewy","83250","Skarszewy","01-11-04"
"459","246","starogardzki","Zespół Caritas Parafii Najświętszego Serca Pana Jezusa","Warsztat Terapii Zajęciowej przy Zespole Caritas Parafii NSPJ","Ks. Bpa Dominika 8","Starogard Gdański","83200","Starogard Gdański","11-04-07"
"460","247","sztumski","Stowarzyszenie Pomocy Dzieciom i Młodzieży Niepełnosprawnej","Warsztat Terapii Zajęciowej","","Koniecwałd","82400","Sztum","12-08-03"
"461","247","sztumski","Stowarzyszenie Pomocy Dzieciom i Młodzieży Niepełnosprawnej","Warsztat Terapii Zajęciowej","Traugutta 13","Dzierzgoń","82440","Dzierzgoń","12-16-19"
"462","248","tczewski","Caritas Diecezji Pelplińskiej","Warsztat Terapii Zajęciowej","Sambora 28","Pelplin","83130","Pelplin","07-01-11"
"463","248","tczewski","Koło Polskiego Stowarzyszenia na Rzecz Osób z Niepełnosparwnością Intelektualną","Warsztat Terapii Zajęciowej","Wigury 84","Tczew","83110","Tczew","12-15-97"
"464","248","tczewski","Stowarzyszenie na Rzecz Szkolnictwa Specjalnego","Warsztat Terapii Zajęciowej","Grunwaldzka 1","Tczew","83110","Tczew","01-01-07"
"465","249","wejherowski","Caritas Archidiecezji Gdańskiej","Centrum im. Św. Siostry Faustyny","Ks. Lucjana Gierosa 8a","Rumia","84230","Rumia","09-06-00"
"466","249","wejherowski","Fundacja ""Szczęśliwa Rodzina"" im. Św. Siostry Faustyny Kowalskiej","Warsztat Terapii Zajęciowej","Wybickiego 3","Bojano","84207","Bojano","12-21-09"
"467","249","wejherowski","Fundacja Zdrowia ""Esco""","Warsztat Terapii Zajęciowej","3-go Maja 49","Wejherowo","84200","Wejherowo","11-08-06"
"468","249","wejherowski","Fundacja Anny Dymnej ""Mimo Wszystko""","Warsztat Terapii Zajęciowej","Spacerowa 38","Lubiatowo","84210","Choczewo","11-26-18"
"469","250","Gdańsk","Fundacja Edukacji Ekologicznej i Promocji Zdrowia","Warsztat Terapii Zajęciowej ""Bolek i Lolek"" ","Kołobrzeska 57","Gdańsk","80397","Gdańsk","07-02-00"
"470","250","Gdańsk","Polskie Stowarzyszanie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Gdańsku","Warsztat Terapii Zajęciowej","Tysięclecia 24","Gdańsk","80351","Gdańsk","07-28-99"
"471","250","Gdańsk","Fundacja ""Sprawni Inaczej""","Warsztat Terapii Zajęciowej","Północna 5","Gdańsk","80512","Gdańsk","04-20-97"
"472","250","Gdańsk","Stowarzyszenie Przedsiębiorczości i Rehabilitacji","Warsztat Terapii Zajęciowej","Batorego 12","Gdańsk","80251","Gdańsk","12-09-99"
"473","250","Gdańsk","""POL-WEST"" Sp. z o.o.","Warsztat Terapii Zajęciowej ""Tratwa""","Uczniowska 33","Gdańsk","80530","Gdańsk","10-16-99"
"474","250","Gdańsk","Stowarzyszenie Aktywnych Na Pomoc","Warsztat Terapii Zajęciowej","Bażyńskiego 32","Gdańsk","80309","Gdańsk","04-16-99"
"475","251","Gdynia","ADAPA, Fundacja na Rzecz Osób z Autyzmem i Innymi Zaburzeniami Rozwoju","Warsztat Terapii Zajęciowej","Hallera 31 A","Gdynia","81428","Gdynia","12-30-10"
"476","251","Gdynia","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w  Gdyni","Warsztat Terapii Zajęciowej przy PSONI koło w Gdyni","Harcerska 4","Gdynia","81425","Gdynia","03-02-05"
"477","251","Gdynia","Caritas Archidiecezji Gdańskiej","Warsztat Terapii Zajęciowej przy CPC im.Św.O.Pio","Jęczmienna 8","Gdynia","81089","Gdynia","10-20-08"
"478","251","Gdynia","Stowarzyszenie Osób z Wadą Słuchu Cisza","Warsztat Terapii Zajęciowej przy Stowarzyszeniu Osób z Wadą Słuchu CISZA","Boisko 4","Gdynia","81183","Gdynia","12-05-08"
"479","252","Słupsk"," Polski Związek Niewidomych  w Warszawie ","Warsztat  Terapii Zajęciowej Polskiego  Związku  Niewidomych ","M. Skłodowskiej Curie 3","Słupsk","76200","S łupsk ","10-21-01"
"480","252","Słupsk","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym Koło w Słupsku","Warsztat Terapii Zajęciowej ""Diament""","Długosza 22","Słupsk","76200","Słupsk","12-17-06"
"481","254","będziński","Stowarzyszenie ""Bądź z nami""","Warsztat Terapii Zajęciowej","Podłosie 10","Będzin","42504","Będzin","12-02-07"
"482","255","bielski","Specjalistyczny Psychiatryczny ZOZ","Warsztat Terapii Zajęciowej","Olszówki 102","Bielsko-Biała","43300","Bielsko-Biała","01-02-03"
"483","255","bielski","Stowarzyszenie FELICITAS Kreacja Rzeczywistości","Warsztat Terapii Zajęciowej FELICITAS","Nad Białką 1e","Czechowice Dziedzice","43502","Czechowice Dziedzice","04-02-22"
"484","256","cieszyński","Powiatowy Dom Pomocy Społęcznej ""Feniks""","Warsztat Terapii Zajęciowej","Sportowa 13","Skoczów","43430","Skoczów","05-25-99"
"485","257","częstochowski","Katolickie Stowarzyszenie Niepełnosprawnych","Warsztat Terapii Zajęciowej","Częstochowska 150","Stary Koniecpol","42230","Koniecpol","09-16-00"
"486","258","gliwicki","Caritas Archidiecezji Katowickiej","Osrodek M.B. Uzdrowienie Chorych w Knurowie","Szpitalna 29","Knurów","44194","Knurów","04-02-98"
"487","258","gliwicki","Stowarzyszenie Integracji Zawodowej i Społecznej Osób Niepełnosprawnych ""Tęcza""","Warsztaty Terapii Zajęciowej ""Tęcza""","Wojska Polskiego 3","Pyskowice","44120","Pyskowice","12-16-10"
"488","259","kłobucki","Towarzystwo Przyjaciół Dzieci ŚOR","Warsztat Terapii Zajęciowej","Długa 1","Hutka","42134","Truskolasy","12-28-11"
"489","259","kłobucki","Śląskie Stowarzyszenie Pomocy Osobom Niepełnosprawnym","Warsztat Terapii Zajęciowej","","Dankowice Drugie","42160","Krzepice","12-31-17"
"490","260","lubliniecki","Dom Pomocy Społecznej","Warsztat Terapii Zajęciowej","Kochcicka 14","Lubliniec","42700","Lubliniec","10-09-98"
"491","261","mikołowski","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Mikołowie","Warsztat Terapii Zajęciowej","Pl. Salwatorianów 4","Mikołów","43190","Mikołów","07-02-99"
"492","261","mikołowski","Ośrodek dla Osób Niepełnosprawnych Miłosierdzie Boże","Warsztat Terapii Zajęciowej","Gliwicka 366","Mikołów","43190","","09-02-97"
"493","262","myszkowski","Towarzystwo Przyjaciół Dzieci Śląski Oddział w Katowicach","Warsztat Terapii Zajęciowej","","Ogorzelnik 50","42320","Niegowa","11-03-09"
"494","262","myszkowski","Gminno Miejski Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","Polna 3","Wojsławice","42350","Koziegłowy","11-26-10"
"495","263","pszczyński","Caritas Archidiecezji Katowickiej","Warsztat Terapii Zajęciowej","Św. Jadwigi 4","Pszczyna","43200","Pszczyna","06-01-00"
"496","264","raciborski","Ośrodek Pomocy Społecznej w Raciborzu","Warsztat Terapii Zajęciowej","Rzeźnicza 8","Racibórz","47400","Racibórz","10-02-00"
"497","265","rybnicki","Warsztat Terapii Zajęciowej Sp. z o.o.","Warsztat Terapii Zajęciowej Sp. z o.o.","3 Maja 21 A","Czerwionka-Leszczyny","44230","Czerwionka-Leszczyny","12-29-08"
"498","266","tarnogórski","Salezjański Ośrodek Szkolno-Wychowawczy w Tarnowskich Górach","Warsztat Terapii Zajęciowej","Śniadeckiego 1","Tarnowskie Góry","42604","Tarnowskie Góry","03-02-04"
"499","266","tarnogórski","Towarzystwo Przyjaciół Dzieci Śląski Oddział Regionalny","Warsztat Terapii Zajęciowej ","Szkolna 8","Kalety","42660","Kalety","12-14-09"
"500","267","bieruńsko-lędziński","Caritas Archidiecezji Katowickiej Ośrodek Błogosławiona Karolina","Ośrodek Błogosławiona Karolina Warsztat Terapii Zajęciowej","Lędzińska 6","Lędziny","43140","Lędziny","01-12-06"
"501","268","wodzisławski","Caritas Archidiecezji Katowickiej Ośrodek Św. Hiacynta i Franciszek","Warsztat Terapii Zajęciowej","Wałowa 30","Wodzisław Śląski","44300","Wodzisław Śląski","12-10-06"
"502","268","wodzisławski","Wojewódzki Ośrodek Lecznictwa Odwykowego i Zakład Opiekuńczo-Leczniczy w Gorzycach","Warsztat Terapii Zajęciowej","Zamkowa 8","Gorzyce","44350","Gorzyce","12-02-99"
"503","269","zawierciański","WTZ sp.z o.o.","Warsztat Terapii Zajęciowej","Sienkiewicza 66","Zawiercie","42400","Zawiercie","11-30-06"
"504","269","zawierciański","Chrześcijańskie Stowarzyszenie Dobroczynne","Warsztat Terapii Zajęciowej","Brzozowa 19","Łazy","42450","Łazy","12-01-08"
"505","270","żywiecki","Rada Gminy w Gilowicach","Warsztat Terapii Zajęciowej","Zakopiańska 71","Gilowice","34322","Gilowice","08-21-97"
"506","270","żywiecki","Specjalny Ośrodek Szkolno-Wychowawczy","Warsztat Terapii Zajęciowej przy Specjalnym Ośrodku Szkolno-Wychowawczym","Kopernika 77","Żywiec","34300","Żywiec","12-31-20"
"507","271","Bielsko-Biała","Bielskie Stowarzyszenie Artystyczne ""Teatr Grodzki""","Warsztat Terapii Zajęciowej ""Jesteś potrzebny""","Stefanii Sempołowskiej 13","Bielsko-Biała","43300","Bielsko-Biała","10-15-08"
"508","271","Bielsko-Biała","Stowarzyszenie Pomocy Rodzinie ""PORT""","Warsztat Terapii Zajęciowej ""PORT""","prof. dr. Mieczysława Michałowicza 12","Bielsko-Biała","43300","Bielsko-Biała","11-20-07"
"509","272","Bytom","Bytomskie Stowarzyszenie Pomocy Dzieciom i Młodzieży Niepełnosprawnej","Warsztat Terapii Zajęciowej","Tetmajer 2","Bytom","41933","Bytom","02-01-04"
"510","272","Bytom","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Bytomiu","Warsztat Terapii Zajęciowej","Powstańców Śląskich 17","Bytom","41902","Bytom","10-02-98"
"511","273","Chorzów","Spółka z o.o. WTZ","Warsztat Terapii Zajęciowej","Katowicka 77","Chorzów","41500","Chorzów","08-15-05"
"512","273","Chorzów","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Chorzowie","Warsztat Terapii Zajęciowej","Beskidzka 6","Chorzów","41500","Chorzów","06-16-98"
"513","274","Częstochowa","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""Integracja""","Warsztat Terapii Zajęciowej","Olszowa 2","Częstochowa","42200","Częstochowa","09-02-00"
"514","274","Częstochowa","Fundacja Oczami Brata","Warsztat Terapii Zajęciowej","Łukasińskiego 40","Częstochowa","42207","Częstochowa","01-02-24"
"515","275","Dąbrowa Górnicza","Dąbrowskie Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""Otwarte Serca""","Warsztat Terapii Zajęciowej ""Otwarte Serca""","Św. Antoniego 107","Dąbrowa Górnicza","41303","Dąbrowa Górnicza","12-24-07"
"516","276","Gliwice","Caritas Diecezji Gliwickiej","Warsztat Terapii Zajęciowej","Toszecka 179","Gliwice","44100","Gliwice","09-26-04"
"517","276","Gliwice","Fundacja ""Różyczka"" z siedzibą w Gliwicach ","Warsztat Tarapii Zajęciowej ""Tęcza""","Fiołkowa 24","Gliwice","44109","Gliwice","02-26-97"
"518","277","Jastrzębie-Zdrój","Stowarzyszenie Komitet Pomocy Dzieciom Specjalnej Troski","Warsztat Terapii Zajęciowej","Wielkopolska 1a","Jastrzębie-Zdrój","44335","Jastrzębie-Zdrój","05-02-97"
"519","278","Jaworzno","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym Koło w Jaworznie","Warsztat Terapii Zajęciowej","Chopina 19","Jaworzno","43600","Jaworzno","02-23-97"
"520","279","Katowice","Fundacja Pomocy Dzieciom i Młodzieży Niepełnosprawnej im. Św. St. Kostki","Warsztat Terapii Zajęciowej ""Promyk""","Szopienicka 58a","Katowice","40431","Katowice","02-23-97"
"521","279","Katowice","Śląskie Stowarzyszenie ""Ad Vitam Dignam""","Śląskie Stowarzyszenie ""Ad Vitam Dignam"" Warsztat Terapii Zajęciowej","Oswobodzenia 92","Katowice","40405","Katowice","10-24-99"
"522","279","Katowice","Stowarzyszenie na Rzecz Niepełnosprawnych SPES","Warsztat Terapii Zajęciowej im. Ojca Stanisława Bocera,omi","Panewnicka 463","Katowice","40774","Katowice","11-10-02"
"523","279","Katowice","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło Katowice-Giszowiec","Warsztat Terapii Zajęciowej Osób z Upośledzeniem Umysłowym","Wojciecha 23","Katowice","40474","Katowice","12-01-03"
"524","279","Katowice","Stowarzyszenie Wspierania Działań Twórczych Osób Niepełnosprawnych ""Unikat""","Warsztat Terapii Zajęciowej ""Unikat""","Kotlarza 10b","Katowice","40139","Katowice","08-13-08"
"525","279","Katowice","Śląskie Stowarzyszenie Edukacji i Rehabilitacji Osób Niepełnosprawnych ""Akcent""","Warsztat Terapii Zajęciowej ""Akcent""","Rataja 14","Katowice","40837","Katowice","04-01-21"
"526","279","Katowice","Śląskie Centrum Edukacji i Rehabilitacji ""Arteria""","Warsztat Terapii Zajęciowej ""Arteria""","Francuska 29","Katowice","40027","Katowice","03-02-22"
"527","280","Mysłowice","Stowarzyszenie Pomocy Dzieciom Niepełnosprawnym ""Radość""","SPDN ""RADOŚĆ"" Warsztat Terapii Zajęciowej","Laryska7","Mysłowice","41400","Mysłowice","11-24-97"
"528","281","Piekary Śląskie","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej","Przyjaźni 48","Piekary Śląskie","41948","Piekary Śląskie","09-26-10"
"529","282","Ruda Śląska","Caritas Archidiecezji Katowickiej","Osrodek dla Niepełnosprawnych ""Najświętsze Serce Jezusa""","Kłodnicka 103","Ruda Śląska","41706","Ruda Śląska","01-26-99"
"530","283","Rybnik","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej nr 1 ""Przystań""","Kościuszki 55","Rybnik","44200","Rybnik","05-23-00"
"531","283","Rybnik","Polskie Stowarzyszenie  na rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zaęciowej nr 2 ""Latarnia""","Andersa 14","Rybnik-Niedobczyce","44200","Rybnik-Niedobczyce","12-13-06"
"532","284","Siemianowice Śląskie","Siemianowickie Stowarzyszenie Pomocy Dzieciom Specjalnej Troski ""Imperium Słońca""","Warsztat Terapii Zajęciowej","Zgrzebnioka 65","Siemianowice Śląskie","41106","Siemianowice Śląskie","11-10-99"
"533","285","Sosnowiec","Towarzystwo Przyjaciół Dzieci Oddział Miejski Sosnowiec","Warsztat Terapii Zajęciowej","Jodłowa 1","Sosnowiec ","41200","Sosnowiec ","07-02-98"
"534","285","Sosnowiec","Fundacja im. Brata Alberta w Sosnowcu","Warsztat Terapii Zajęciowej","Mikołajczyka 55","Sosnowiec","41200","Sosnowiec ","09-02-97"
"535","286","Świętochłowice","Towarzystwo Przyjaciół Dzieci Oddział w Świętochłowicach","Warsztat Terapii Zajęciowej","Karpacka 3a","Świętochłowice","41608","Świętochłowice","02-01-04"
"536","287","Tychy","Caritas Archidiecezji Katowickiej","Caritas Archidiecezji Katowickiej Ośrodek Św. Faustyna","Nowokościelna 56","Tychy","43100","Tychy","09-01-99"
"537","288","Zabrze","Caritas Diecezji Gliwickiej","Warsztat Terapii Zajęciowej Caritas Diecezji Gliwickiej","Sienkiewicza 30","Zabrze","41800","Zabrze","12-01-06"
"538","288","Zabrze","Stowarzyszenie Integracji Zawodowej i Społecznej Osób Niepełnosprawnych ""Tęcza""","Warsztat Terapii Zajęciowej ""TĘCZA""","Hagera 4","Zabrze","41800","Zabrze","12-02-08"
"539","289","Żory","Polskie Stowarzyszenie Na Rzecz Osób z Upośledzeniem Umysłowym koło w Żorach","Warsztat Terapii Zajęciowej ","Piastów Górnośląskich 6","Żory","44240","Żory","11-02-04"
"540","290","buski","Dom Pomocy Społecznej w Gnojnie","Warsztat Terapii Zajęciowej","Gnojno 118","Gnojno","28114","Gnojno","12-02-97"
"541","290","buski","Towarzystwo Przyjaciół Dzieci Zarząd Oddziału Powiatowego","Warsztat Terapii Zajęciowej","Kościuszki 46","Busko-Zdrój","28100","Busko-Zdrój","12-16-98"
"542","290","buski","Caritas  Diecezji Kieleckiej","Caritas Diecezji Kieleckiej Warsztat Terapii Zajęciowej","","Piasek Wielki 117","28136","Nowy Korczyn","12-02-20"
"543","291","jędrzejowski","Specjalny Ośrodek Szkolno - Wychowawczy w Jędrzejwie ","Warsztat Terapii Zajęciowej w Jędrzejowie","Armii Krajowej11","Jędrzejów","28300","Jędrzejów","09-02-98"
"544","291","jędrzejowski","Dom Pomocy Społecznej w Minchowie","Warsztat Terapii Zajęciowej w Mnichowie","Mnichów 135","Jędrzejów","28300","Jędrzejów","09-02-98"
"545","292","kazimierski","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""Promyk Nadziei"" w Kazimierzy Wielkiej","Warsztat Terapii Zajęciowej ","T. Kościuszki 15","Kazimierza Wielka","28500","Kazimierza Wielka","12-29-05"
"546","293","kielecki","Dom Pomocy Społecznej","Warsztat Terapii Zajęciowej","Szewska 28","Zgórsko","26052","Nowiny","12-17-98"
"547","293","kielecki","Stowarzyszenie Pomoc Niepełnosprawnym","Warsztat Terapii Zajęciowej ","","Osiny 30","26015","Pierzchnica","01-02-06"
"548","293","kielecki","Wiejskie Stowarzyszenie Na Rzecz Osób Niepełnosprawnych Intelektualnie i Ruchowo","Warsztat Terapii Zajęciowej ","","Fanisławice 22","26070","Łopuszno","12-29-13"
"549","293","kielecki","Stowarzyszenie ""Braterskie Serca""","Warsztat Terapii Zajęciowej ","","Belno 143","26050","Zagnańsk","12-28-17"
"550","293","kielecki","Gmina Łagów","Warsztat Terapii Zajęciowej ","","Sędek 63","26025","Łagów","12-29-19"
"551","294","konecki","Towarzystwo Wspierania Rozwoju Powiatu ""Wszechnica Konecka""","Warsztat Terapii Zajęciowej ","Gimnazjalna 41b","Końskie","26200","Końskie","06-18-00"
"552","295","opatowski","Stowarzyszenie Akademia Pomysłu","Warsztat Terapii Zajęciowej przy Stowarzyszeniu Akademia Pomysłu","","Bidziny 142","27532","Wojciechowice","10-06-19"
"553","295","opatowski","Dom Pomocy Społecznej w Zochcinku","Warsztat Terapii Zajęciowej Nr 1 przy Domu Pomocy Społecznej w Zochcinku","Juliusza Słowackiego 13","Opatów","27500","Opatów","07-08-98"
"554","295","opatowski","Dom Pomocy Społecznej w Zochcinku","Warsztat Terapii Zajęciowej Nr 2 przy Domu Pomocy Społecznej w Zochcinku","Szpitalna 4","Opatów","27500","Opatów","12-10-21"
"555","295","opatowski","Stowarzyszenie Loklana Grupa Działania Powiatu Opatowskiego","Warsztat Terapii Zajęciowej przy Loklanej Grupie Działania Powiatu Opatowskiego","","Czekarzewice Drugie 125","27515","Tarłów","12-22-20"
"556","295","opatowski","Dom Pomocy Społecznej w Sobowie","Warsztat Terapii Zajęciowej przy Domu Pomocy Społecznej w Sobowie","","Sobów 117","27530","Ożarów","12-20-21"
"557","296","ostrowiecki","Stowarzyszenie Na Rzecz Warsztatu Terapii Zajęciowej ""Szansa""","WTZ przy Stowarzyszeniu ""SZANSA""","Żabia 31","Ostrowiec Świętokrzyski","27400","Ostrowiec Świętokrzyski","02-02-04"
"558","296","ostrowiecki","Stowarzyszenie ""Razem"" na Rzecz Osób Niepełnosprawnych Umysłowo","Stowarzyszenie ""Razem"" na Rzecz Osób Niepełnosprawnych Umysłowo Warsztat Terapii Zajęciowej","Osiedle Pułanki 10","Ostrowiec Świętokrzyski","27400","Ostrowiec Świętokrzyski","08-02-97"
"559","296","ostrowiecki","STOWARZYSZENIE ZINTEGROWANI","WARSZTAT TERAPII ZAJĘCIOWEJ ZAJĘCIOWEJ ""ZINTEGROWANI""","","Miłkowska-Karczma 141a","27415","KUNÓW","12-31-23"
"560","297","pińczowski","Stowarzyszenie Rozwoju Kulturalno Gospodarczego Powiatu Pińczowskiego","Warsztat Terapii Zajęciowej","Polna 48","Pińczów","28400","Pińczów","11-25-03"
"561","298","sandomierski","Stowarzyszenie ""Integracja""","Warsztat Terapii Zajęciowej przy Stowarzyszeniu ""INTEGRACJA""","Jakubowskiego 5","Sandomierz","27600","Sandomierz","09-28-97"
"562","298","sandomierski","Stowarzyszenie na Rzecz Pomocy Osobom Niepełnosprawnym ""Tratwa""","Warsztat Terapii Zajęciowej przy Stowarzyszeniu ""TRATWA""","Zawichojska 13","Sandomierz","27600","Sandomierz","05-23-99"
"563","298","sandomierski","Stowarzyszenie ""Spełnić marzenia""","Warsztat Terapii Zajęciowej w Piotrowicach","","Piotrowice 18","27630","Zawichost","06-06-00"
"564","298","sandomierski","Gmina Samborzec","Warsztat Terapii Zajęciowej","","Śmiechowice 99","27650","Samborzec","12-31-02"
"565","299","skarżyski","Stowarzyszenie Na Rzecz Warsztatów Terapii Zajęciowej „Tęcza”","Warsztat Terapii Zajęciowej","Równoległa 23","Skarżysko-Kamienna","26110","Skarżysko-Kamienna","09-24-97"
"566","299","skarżyski","Stowarzyszenie Rodzin i Przyjaciół Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej","Kościuszki 38","Skarżysko-Kamienna","26110","Skarżysko-Kamienna","09-02-98"
"567","300","starachowicki","Parafia Rzymsko-katolicka w Kałkowie-Godowie","Warsztat Terapii Zajęciowej","Godów 84A","Kałków-Godów","27225","Pawłów","11-17-03"
"568","300","starachowicki","Parafia Rzymskokatolicka św. Judy Tadeusza","Warsztat Terapii Zajęciowej","Wiosenna 5","Starachowice","27200","Starachowice","07-02-98"
"569","301","staszowski","Miasto i Gmina Połaniec","Warsztat Terapii Zajęciowej","Lipowa 20","Połaniec","28230","Połaniec","01-02-04"
"570","302","włoszczowski","Caritas Archidiecezji Kieleckiej","Warsztat Terapii Zajęciowej","","Ostrów 57","29105","Krasocin","12-28-10"
"571","303","Kielce","Dom Pomocy Społecznej im. Św. Brata Alberta","Warsztat Terapii Zajęciowej przy DPS im. Św. Brata Alberta w Kielcach","Krzemionkowa 1","Kielce","25705","Kielce","05-28-97"
"572","303","Kielce","Dom Pomocy Społecznej im. Jana Pawła II","Warsztat Terapii Zajęciowej przy DPS im. Jana Pawła II","Słoneczna 9","Kielce","25731","Kielce","05-13-97"
"573","304","bartoszycki","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych i Profilatyki Zdrowia ""JESTEŚMY RAZEM""","Warsztat Terapii Zajęciowej ","Kardynała Wyszyńskiego 13","Górowo Iławieckie","11220","Górowo Iławieckie","11-24-10"
"574","304","bartoszycki","Stowarzyszenie Integracji Osób Niepełnosprawnych ","Warsztat Terapii Zajęciowej ","Generała Bema 51A","Bartoszyce","11200","Bartoszyce","12-02-09"
"575","305","braniewski","Caritas Archidiecezji Warmińskiej","Warsztat Terapii Zajęciowej ","Krasickiego 4","Frombork","14530","Frombork","07-02-10"
"576","306","działdowski","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej ","M. C. Skłodowskiej 20","DZIAŁDOWO","13200","DZIAŁDOWO","05-23-01"
"577","307","elbląski","Dom Pomocy Społecznej","Warsztat Terapii Zajęciowej","Szpitalna 2","Tolkmicko","82340","Tolkmicko","07-11-99"
"578","307","elbląski","Dom Pomocy Społecznej","Warsztat Terapii Zajęciowej ","","Władysławowo 4","82300","Elbląg","05-02-00"
"579","307","elbląski","Gminny Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej ","","Kamiennik Wielki 10","82316","Milejewo","07-02-04"
"580","308","ełcki","Katolickie Stowarzyszenie Niepełnosprawnych Diecezji Ełckiej","Warsztat Terapii Zajęciowej ","Kolejowa 31","Ełk","19300","Ełk","07-30-00"
"581","309","giżycki","Polskie Stowarzyszenie Na Rzecz Osób z Upośledzeniem Umysłowym Koło","Warsztat Terapii Zajęciowej ","Dąbrowskiego 15","Giżycko","11500","Giżycko","04-02-04"
"582","309","giżycki","Ryńskie Stowarzyszenie Integracji Przyjaciół Osób Niepełnosprawnych ""Dar Serca""","Warsztat Terapii Zajęciowej ","Konrada Wallenroda 4","Ryn","11520","Ryn","09-02-98"
"583","310","gołdapski","CARITAS Diecezji Ełckiej","Warsztat Terapii Zajęciowej ","Przytorowa 5","Gołdap","19500","Gołdap","08-02-04"
"584","311","iławski","Stowarzyszenie na Rzecz Ośrodka Aktywności","Warsztat Terapii Zajęciowej ","Kupnera 18","Lubawa","14260","Lubawa","06-21-00"
"585","311","iławski","Stowarzyszenie Rozwoju i Przedsiębiorczości Ziemi Suskiej","Warsztat Terapii Zajęciowej ","Piastowska 37","Susz","14240","Susz","08-01-06"
