L.p.;NAZWA URZĘDU;WOJEWÓDZTWO;POWIAT;MIEJSCOWOŚĆ;ULICA;NR DOMU;KOD POCZTOWY;NR TELEFONU wraz z nr kierunkowym;NR TELEFONU 2 wraz z nr kierunkowym;NR FAXU        wraz z nr kierunkowym;NR FAXU 2       wraz z nr kierunkowym;ADRES E-MAIL URZĘDU;ADRES 2 E-MAIL URZĘDU;ADRES WWW URZĘDU;SZEROKOŚĆ GEOGRAFICZNA;DŁUGOŚĆ GEOGRAFICZNA
1568.;Komenda Powiatowa Państwowej Straży Pożarnej w Węgorzewie ;warmińsko-mazurskie;węgorzewski;Węgorzewo;Sienkiewicza;10;11-600;(87) 427-75-03;;(87) 427-75-12;;kpwegorzewo@kwpsp.olsztyn.pl;;https://www.gov.pl/web/kppsp-wegorzewo;54.2126;21.7460
1569.;Komenda Miejska Policji w Elblągu;warmińsko-mazurskie;m.Elbląg;Elbląg;Aleja Tysiąclecia;3;82-300;47 734 15 50;47 734 15 55;47 734 15 58;;komendant@elblag.ol.policja.gov.pl;;elblag.policja.gov.pl;54.1556;19.4033
1570.;Komenda Powiatowa Policji w Bartoszycach;warmińsko-mazurskie;bartoszycki;Bartoszyce;Wyszyńskiego;28;11-200;47 732 12 00;47 732 12 11;47 732 12 05;;komendant@bartoszyce.ol.policja.gov.pl;;bartoszyce.policja.gov.pl;54.2603;20.7917
1571.;Komenda Powiatowa Policji w Braniewie;warmińsko-mazurskie;braniewski;Braniewo;Moniuszki;11a;14-500;47 734 32 00;47 734 32 11;47 734 32 05;47 734 32 01;komendant@braniewo.ol.policja.gov.pl;;braniewo.policja.gov.pl;54.3753;19.8282
1572.;Komenda Powiatowa Policji w Działdowie;warmińsko-mazurskie;działdowski;Działdowo;Grunwaldzka;8;13-200;47 732 32 11;47 732 32 00;47 732 32 05;47 732 32 15;komendant@dzialdowo.ol.policja.gov.pl;;dzialdowo.policja.gov.pl;53.2387;20.1709
1573.;Komenda Powiatowa Policji w Ełku;warmińsko-mazurskie;ełcki;Ełk;Chopina;10;19-300;47 735 52 00;47 735 52 24;47 735 52 05;;komendant@elk.ol.policja.gov.pl;dyzurny@elk.ol.policja.gov.pl;elk.policja.gov.pl;53.8211;22.3530
1574.;Komenda Powiatowa Policji Giżycku ;warmińsko-mazurskie;giżycki;Giżycko;1 Maja;26;11-500;47 735 22 00;47 735 22 11;47 735 22 05;;komendant@gizycko.ol.policja.gov.pl;;gizycko.policja.gov.pl;54.0422;21.7732
1575.;Komenda Powiatowa Policji w Gołdapi;warmińsko-mazurskie;gołdapski;Gołdap;Mazurska;33;19-500;47 735 74 00;47 735 74 11;47 735 74 05;;komendant@goldap.ol.policja.gov.pl;;goldap.policja.gov.pl;54.3149;22.2993
1576.;Komenda Powiatowa Policji Iławie;warmińsko-mazurskie;iławski;Iława;Wiejska;4;14-200;47 732 62 00;47  732 62 11;47 732 62 05;47 732 62 69;komendant@ilawa.ol.policja.gov.pl;;www.ilawa.policja.gov.pl;53.5865;19.5556
1577.;Komenda Powiatowa Policji w Kętrzynie;warmińsko-mazurskie;kętrzyński;Kętrzyn;Wojska Polskiego;5;11-400;47 735 12 00;47 735 12 11;47 735 12 05;;komendant@ketrzyn.ol.policja.gov.pl;;ketrzyn.policja.gov.pl;54.0802;21.3701
1578.;Komenda Powiatowa Policji w Lidzbarku Warmińskim;warmińsko-mazurskie;lidzbarski;Lidzbark Warmiński;Warmińska;8;11-100;47 732 72 00;47 732 72 11;47 732 72 05;;komendant@lidzbark-warm.ol.policja.gov.pl;;lidzbark-warminski.policja.gov.pl;54.1242;20.5906
1579.;Komenda Powiatowa Policji w Mrągowie;warmińsko-mazurskie;mrągowski;Mrągowo;Wolności;2;11-700;47 732 82 00;47 732 82 11; 47 732 82 05;;komendant@mragowo.ol.policja.gov.pl;;mragowo.policja.gov.pl;53.8772;21.3045
1580.;Komenda Powiatowa Policji w Nidzicy;warmińsko-mazurskie;nidzicki;Nidzica;Mickiewicza;17;13-100;47 732 52 00;47 732 52 11;47 732 52 05;;komendant@nidzica.ol.policja.gov.pl;;nidzica.policja.gov.pl;53.3600;20.4309
1581.;Komenda Powiatowa Policji w Nowym Mieście Lubawskim;warmińsko-mazurskie;nowomiejski;Nowe Miasto Lubawskie;Grunwaldzka;6;13-300;47 732 22 00;47 732 22 11;47 732 22 05;47 732 22 15;komendant@nml.ol.policja.gov.pl;;nowe-miasto-lubawskie.policja.gov.pl;53.4269;19.5886
1582.;Komenda Powiatowa Policji w Olecku;warmińsko-mazurskie;olecki;Olecko;Zamkowa;1;19-400;47 735 32 00;47 735 32 11;47 735 32 05;;komendant@olecko.ol.policja.gov.pl;;olecko.policja.gov.pl;54.0404;22.5107
1583.;Komenda Powiatowa Policji w Ostródzie;warmińsko-mazurskie;ostródzki;Ostróda;Handlowa;6;14-100;477 324 211;47 732 42 00;47 732 42 15;47 732 42 05;komendant@ostroda.ol.policja.gov.pl;;ostroda.policja.gov.pl;53.6934;19.9785
1584.;Komenda Powiatowa Policji w Piszu;warmińsko-mazurskie;piski;Pisz;Armii Krajowej;1;12-200;47 735 42 00;47 735 42 11;47 735 42 05;;komendant@pisz.ol.policja.gov.pl;;pisz.policja.gov.pl;53.6302;21.8054
1585.;Komenda Powiatowa Policji w Szczytnie;warmińsko-mazurskie;szczycieński;Szczytno;Piłsudskiego;39;12-100;47 733 12 00;47 733 12 11;47 733 12 05;;komendant@szczytno.ol.policja.gov.pl;;szczytno.policja.gov.pl;53.6273;21.8079
1586.;Komenda Powiatowa Policji w Węgorzewie;warmińsko-mazurskie;węgorzewski;Węgorzewo;Jana Pawła II;39;11-600;47 735 64 00;47 735 64 11;47 735 64 15;;komendant@wegorzewo.ol.policja.gov.pl;;wegorzewo.policja.gov.pl;54.2024;21.7518
1587.;Powiatowy Inspektorat Nadzoru Budowlanego w Bartoszycach;warmińsko-mazurskie;bartoszycki;Bartoszyce;Grota-Roweckiego;1/323;11-200;(89)762-93-90;;(89)762-93-90;(89)762-53-10;pinb@pinb-bartoszyce.gov.pl;pinb-bartoszyce@wp.pl;www.pinb-bartoszyce.gov.pl;54.2508;20.8153
1588.;Powiatowy Inspektorat Nadzoru Budowlanego w Braniewie;warmińsko-mazurskie;braniewski;Braniewo;Piłsudskiego;2;14-500;55 644 02 77;;55 644 02 76;;pinb@braniewo.pinb.gov.pl;;www.pinbbraniewo.bip.gov.pl;54.3845 ;19.8276
1589.;Powiatowy Inspektorat Nadzoru Budowlanego w Działdowie;warmińsko-mazurskie;działdowski;Działdowo;Kościuszki;3;13-200;(23)697-24-39;;(23)697-51-40;;pinb@dzialdowo.pinb.gov.pl;;www.pinb-dzialdowo.bip.net.pl;53.2337;20.1779
1590.;Powiatowy Inspektorat Nadzoru Budowlanego dla m. Elbląga;warmińsko-mazurskie;m. Elbląg;Elbląg;Wojska Polskiego;1;82-300;(55)643-34-51;(55) 643-34-52;(55) 643 34 51  wew. 18;;elblag@pinb.pl;;www.elblag.pinb.pl;54.1557;19.4188
1591.;Powiatowy Inspektorat Nadzoru Budowlanego w Elblągu;warmińsko-mazurskie;m. Elbląg;Elbląg;Wojska Polskiego;1;82-300;(55)643-59-15;;(55)643-39-85;;pinb@pinb.elblag.pl;;www.pinb.elblag.com.pl;54.1557;19.4188
1592.;Powiatowy Inspektorat Nadzoru Budowlanego w Ełku;warmińsko-mazurskie;ełcki;Ełk;Małeckich;2;19-300;(87)621-15-49;;(87)621-15-49;;pinbelk@wp.pl;;www.pinbelk.nowybip.pl;53.8242;22.3517
1593.;Powiatowy Inspektorat Nadzoru Budowlanego w Giżycku;warmińsko-mazurskie;giżycki;Giżycko;Al. Wojska Polskiego;8;11-500;(87)732-46-56;;(87)732-46-56;;pinb@gizycko.starostwo.gov.pl;;www.pinb.bip.gov.pl;54.0357;21.7677
1594.;Powiatowy Inspektorat Nadzoru Budowlanego w Iławie;warmińsko-mazurskie;iławski;Iława;Tadeusza Kościuszki;33a;14-200;(89)644-81-41;;(89)648-89-44;;pinb@ilawa.pinb.gov.pl;ksiegowosc@ilawa.pinb.gov.pl;www.pinb.bip.powiat-ilawski.pl;53.5958319;19.57225083
1595.;Powiatowy Inspektorat Nadzoru Budowlanego w Kętrzynie;warmińsko-mazurskie;kętrzyński;Kętrzyn;Plac Grunwaldzki;1;11-400;(89)751-27-94;;(89)751-88-59;;sekretariat@pinbketrzyn.pl;;www.pinbketrzyn.pl;54.0764;21.3730
1596.;Powiatowy Inspektorat Nadzoru Budowlanego w Lidzbarku Warmińskim;warmińsko-mazurskie;lidzbarski;Lidzbark Warmiński;Wyszyńskiego;37;11-100;(89)767-79-29;;(89)767-79-59;;kontakt@lidzbark.pinb.gov.pl;;www.lidzbark.pinb.gov.pl;54.1254 ;20.5888
1597.;Powiatowy Inspektorat Nadzoru Budowlanego w Mrągowie;warmińsko-mazurskie;mrągowski;Mrągowo;Królewiecka;60 B;11-700;(89)741-01-85;;(89)741-01-85;;pinb_mragowo@powiat.mragowo.pl;;www.pinb.powiat.mragowo.pl;53.8760;21.3051
1598.;Powiatowy Inspektorat Nadzoru Budowlanego w Nidzicy;warmińsko-mazurskie;nidzicki;Nidzica;Murarska;4;13-100;(89)625-62-05;;(89)625-62-05;;pinb@nidzica.pinb.gov.pl;;www.bip.nidzica.pinb.gov.pl;53.3589;20.4269
1599.;Powiatowy Inspektorat Nadzoru Budowlanego w Nowym Mieście Lubawskim;warmińsko-mazurskie;nowomiejski;Nowe Miasto Lubawskie;Jagiellońska;24D;13-300;(56)472-59-36;;(56)472-59-36;;pinb@powiat-nowomiejski.pl;;www.pinb.pl;53.4178;19.5912
1600.;Powiatowy Inspektorat Nadzoru Budowlanego w Olecku;warmińsko-mazurskie;olecki;Olecko;Wojska Polskiego;12;19-400;(87)520-03-90;(87)615-44-02;(87)520-03-90;;pinb@powiat.olecko.pl;;www.pinbolecko.bip.gov.pl;54.0373;22.4953
1601.;Powiatowy Inspektorat Nadzoru Budowlanego w Olsztynie;warmińsko-mazurskie;olsztyński;Olsztyn;Jana Kasprowicza;1;10-219;(89) 534- 91- 06;;(89) 534- 91 -06;;pinbolsztyn@gmail.com;;www.pinbpowiatolsztyn.pl;53.7865;20.4816
1602.;Powiatowy Inspektorat Nadzoru Budowlanego dla m. Olsztyna;warmińsko-mazurskie;m. Olsztyn;Olsztyn;Kołobrzeska;27;10-431;(89)534-94-30;;(89)534-94-30;;biuro@pinbolsztyn.pl;;www.pinbolsztyn.pl;53.7792;20.5073
1603.;Powiatowy Inspektorat Nadzoru Budowlanego w Ostródzie;warmińsko-mazurskie;ostródzki;Ostróda;Jana III Sobieskiego;5;14-100;(89)642-98-09;;(89)642-98-09;;inpektorat@pinb.ostroda.pl;;www.pinb.ostroda.pl;53.6941;19.9639
1604.;Powiatowy Inspektorat Nadzoru Budowlanego w Piszu;warmińsko-mazurskie;piski;Pisz;Piaskowa;2;12-200;(87)423-31-87;;(87)423-31-87;;pinb@powiat.pisz.pl;;www.bip.powiat.pisz.pl;53.6307;21.8029
1605.;Powiatowy Inspektorat Nadzoru Budowlanego w Szczytnie;warmińsko-mazurskie;szczycieński;Szczytno;Lipperta;10;12-100;(87)623-11-12;;(87)623-24-15;;pinb-szczytno.bip.gov.pl;;www.pinb-szczytno.bip.gov.pl;53.5635;20.9916
1606.;Powiatowy Inspektorat Nadzoru Budowlanego w Węgorzewie;warmińsko-mazurskie;węgorzewski;Węgorzewo;3 go Maja;17b;11-600;(87)427-76-90;;(87)427-76-90;;pinbw@op.pl;;www.pinbwegorzewo.nbip.pl;54.2072;21.7377
1607.;Powiatowa Stacja Sanitarno-Epidemiologiczna Bartoszyce;warmińsko-mazurskie;bartoszycki;Bartoszyce;Bohaterów Warszawy;12;11-200;(89)762-21-50;;(89)762-21-50;;psse.bartoszyce@sanepid.olsztyn.pl;;www.bip.psse-bartoszyce.pl;54.2475;20.8141
1608.;Powiatowa Stacja Sanitarno-Epidemiologiczna Braniewo;warmińsko-mazurskie;braniewski;Braniewo;Królewiecka;26;14-500;(55)243-23-81;(55) 243-25-45;(55)243-23-81;;psse.braniewo@sanepid.olsztyn.pl;psse.braniewo@pis.gov.pl;www.sanepidbraniewo.pl;54.3854;19.8298
1609.;Powiatowa Stacja Sanitarno-Epidemiologiczna Działdowo;warmińsko-mazurskie;działdowski;Działdowo;Pl. Biedrawy;5;13-200;(23)697-26-34;23697-26-36;(23)697-26-34;23697-51-86;psse.dzialdowo@sanepid.olsztyn.pl;psse.dzialdowo@pis.gov.pl;www.bip.visacom.pl/psse_dzialdowo;53.2330;20.1777
1610.;Powiatowa Stacja Sanitarno-Epidemiologiczna Elbląg;warmińsko-mazurskie;m. Elbląg;Elbląg;Królewiecka;195;82-300;(55)232-32-60;;(55)232-74-31;;psse.elblag@pis.gov.pl;psse.elblag@sanepid.olsztyn.pl;www.psseelblag.nowybip.pl;54.1788;19.4247
1611.;Powiatowa Stacja Sanitarno-Epidemiologiczna Ełk;warmińsko-mazurskie;ełcki;Ełk;Toruńska;6a/1;19-300;(87)621-77-50;;(87)621-77-64;;psse.elk@sanepid.olsztyn.pl;psse_elk@visacom.pl;www.bip.visacom.pl/psse_elk;53.8288;22.3517
1612.;Powiatowa Stacja Sanitarno-Epidemiologiczna Giżycko;warmińsko-mazurskie;giżycki;Giżycko;Suwalska;3;11-500;(87)428-54-98;;(87) 428-58-74;;psse.gizycko@sanepid.olsztyn.pl;;pssegizycko.bip.visacom.pl;54.0365;21.7840
1613.;Powiatowa Stacja Sanitarno-Epidemiologiczna Gołdap;warmińsko-mazurskie;gołdapski;Gołdap;Wolności;11;19-500;(87)615-15-47;;(87)615-06-77;;psse_goldap@sanepid.mail.pl;psse_goldap@visacom.pl;www.bip.visacom.pl/psse_goldap;54.3049;22.3014
1614.;Powiatowa Stacja Sanitarno-Epidemiologiczna Iława;warmińsko-mazurskie;iławski;Iława;Sienkiewicza;10;14-200;(89)649-04-20;;(89)649-04-21;;psse.ilawa@sanepid.olsztyn.pl;;www.bip.visacom.pl/psse_ilawa;53.5991;19.5519
1615.;Powiatowa Stacja Sanitarno-Epidemiologiczna Kętrzyn;warmińsko-mazurskie;kętrzyński;Kętrzyn;Plac Marsz. J. Piłsudskiego;5;11-400;(89) 754-21-40;89754-21-77;(89)754-21-41;89754-21-75;psse.ketrzyn@sanepid.olsztyn.pl;psse.ketrzyn@pis.gov.pl;www.bip.visacom.pl/psse_ketrzyn;54.0784;21.3719
1616.;Powiatowa Stacja Sanitarno-Epidemiologiczna Lidzbark Warmiński;warmińsko-mazurskie;lidzbarski;Lidzbark Warmiński;Orła Białego;6;11-100;(89)767-23-22;;(89)767-25-82;;psse.lidzbarkwarm@sanepid.olsztyn.pl;;www.lidzbarkwarm.com;54.1250;20.5862
1617.;Powiatowa Stacja Sanitarno-Epidemiologiczna Mrągowo;warmińsko-mazurskie;mrągowski;Mrągowo;Królewiecka;60B;11-700;(89)741-26-34;;(89)741-09-60;;psse.mragowo@sanepid.olsztyn.pl;psse.mragowo.sekretariat@sanepid.olsztyn.pl;www.bip.visacom.pl/psse_mragowo;53.8760;21.3051
1618.;Powiatowa Stacja Sanitarno-Epidemiologiczna Nidzica;warmińsko-mazurskie;nidzicki;Nidzica;Żeromskiego;8;13-100;(89)625-20-81;;(89)625-83-20;;psse.nidzica@sanepid.olsztyn.pl;psse.nidzica@pis.gov.pl;www.sanepid.nidzica.pl;53.3578;20.4282
1619.;Powiatowa Stacja Sanitarno-Epidemiologiczna Nowe Miasto Lubawskie;warmińsko-mazurskie;nowomiejski;Nowe Miasto Lubawskie;Grunwaldzka;3;13-300;(56)474-26-92;;(56)491-14-08;;psse.nowemiastolubawskie@sanepid.olsztyn.pl;;psse.nowemiastolubawskie.ibip.pl/public;53.4276;19.5881
1620.;Powiatowa Stacja Sanitarno-Epidemiologiczna Olecko;warmińsko-mazurskie;olecki;Olecko;Wojska Polskiego;13;19-400;(87)520-30-55;;(87)520-20-65;;psse.olecko@sanepid.olsztyn.pl;;www.visacom.pl/bip2/?ident=12&layout=;54.0356;22.4965
1621.;Powiatowa Stacja Sanitarno-Epidemiologiczna Olsztyn;warmińsko-mazurskie;olsztyński;Olsztyn;Żołnierska;16;10-561;(89) 527-43-10;;(89) 527-43-10;;psse_olsztyn@visacom.pl;;bip.visacom.pl/psse_olsztyn;53.7706;20.4904
1622.;Powiatowa Stacja Sanitarno-Epidemiologiczna Ostróda;warmińsko-mazurskie;ostródzki;Ostróda;Kościuszki;2;14-100;(89)646-08-70;;(89)646-08-80;;psse_ostroda@visacom.pl;psse.ostroda@sanepid.olsztyn.pl;www.bip.visacom.pl/psse_ostroda;53.6967;19.9631
1623.;Powiatowa Stacja Sanitarno-Epidemiologiczna Pisz;warmińsko-mazurskie;piski;Pisz;Warszawska;5;12-200;(87)423-23-78;;(87)423-27-80;;psse.pisz@sanepid.olsztyn.pl;;www.bip.visacom.pl/psse_pisz;53.6259;21.8125
1624.;Powiatowa Stacja Sanitarno-Epidemiologiczna Szczytno;warmińsko-mazurskie;szczycieński;Szczytno;M.Skłodowskiej-Curie;8;12-100;(89)624-87-31;(89)624-25-53;(89)623-24-20;;psse.szczytno@sanepid.olsztyn.pl;psse@sanepid.szczytno.pl;www.sanepid.szczytno.pl;53.5580;20.9874
1625.;Powiatowa Stacja Sanitarno-Epidemiologiczna Węgorzewo;warmińsko-mazurskie;węgorzewski;Węgorzewo;3 Maja;17B ;11-600;(87)427-28-13;;(87)427-28-83;;psse.wegorzewo@sanepid.olsztyn.pl;psse_wegorzewo@visacom.pl;http://www.pssewegorzewo.bip.visacom.pl;54.2074;21.7379
1626.;Powiatowy Inspektorat Weterynarii w Bartoszycach;warmińsko-mazurskie;bartoszycki;Bartoszyce;Bema;33;11-200;(89)764-24-71;;(89)764-29-45;;biuro@bartoszyce.piw.gov.pl;;www.bip.bartoszyce.piw.gov.pl;54.2581;20.8066
1627.;Powiatowy Inspektorat Weterynarii w Braniewie;warmińsko-mazurskie;braniewski;Braniewo;Żeromskiego;22;14-500;(55)243-20-65;;(55)243-20-65;;braniewopiw@bip.braniewo.piw.gov.pl;;www.piw-braniewo.4bip.pl;54.3876;19.8326
1628.;Powiatowy Inspektorat Weterynarii w Działdowie;warmińsko-mazurskie;działdowski;Działdowo;Męczenników;11;13-200;(23)697-20-17;;(23)697-61-32;;piw@piw-dzialdowo.pl;;www.bip.dzialdowo.piw.gov.pl;53.2367;20.1754
1629.;Powiatowy Inspektorat Weterynarii w Elblągu;warmińsko-mazurskie;m. Elbląg;Elbląg;Grunwaldzka ;108;82-300;(55)237-02-53;;(55)236-84-33;;piw@elblag.piw.gov.pl;;www.bip.elblag.piw.gov.pl;54.1434;19.4441
1630.;Powiatowy Inspektorat Weterynarii w Ełku;warmińsko-mazurskie;ełcki;Ełk;Suwalska;46;19-300;(87)610-23-17;;(87)621-63-65;;piwwlk@piwelk.pl;;www.piwelk.pl;53.8303;22.3762
1631.;Powiatowy Inspektorat Weterynarii w Giżycku;warmińsko-mazurskie;giżycki;Giżycko;Wilanowska;26;11-500;(87)428-24-96;;(87)428-24-96;;piw@gizycko.piw.gov.pl;;www.gizycko.piw.gov.pl;54.0446;21.7617
1632.;Powiatowy Inspektorat Weterynarii w Iławie;warmińsko-mazurskie;iławski;Iława;Dąbrowskiego;11;14-200;(89)648-22-86;;(89)648-22-86;;piw@ilawa.piw.gov.pl;;www.piw-ilawa.4bip.pl;53.6016;19.5634
1633.;Powiatowy Inspektorat Weterynarii w Kętrzynie;warmińsko-mazurskie;kętrzyński;Kętrzyn;Rynkowa;5;11-400;(89)751-27-47;;(89)751-27-47;;piw@ketrzyn.piw.gov.pl;;www.bip.ketrzyn.piw.gov.pl;54.0876;21.3678
1634.;Powiatowy Inspektorat Weterynarii w Lidzbarku Warmińśkim;warmińsko-mazurskie;lidzbarski;Lidzbark Warmiński;Ornecka;2d;11-100;(89)767-22-22;;(89)767-06-71;;piw@lidzbarkwarminski.piw.gov.pl;;www.bip.lidzbarkwarminski.piw.gov.pl;54.1270;20.5626
1635.;Powiatowy Inspektorat Weterynarii w Mrągowie;warmińsko-mazurskie;mrągowski;Mrągowo;Rynkowa;1c;11-700;(89)742-62-26;;(89)742-62-26;;mragowo.piw@mragowo.piw.gov.pl;;www.mragowo.piw.gov.pl;53.8673;21.2951
1636.;Powiatowy Inspektorat Weterynarii w Nidzicy;warmińsko-mazurskie;nidzicki;Nidzica;Limanowskiego;1;13-100;(89)625-25-15;;(89)625-25-15;;nidzica.piw@nidzica.piw.gov.pl;;www.piwnidzica.e-bip.org.pl;53.3533;20.4289
1637.;Powiatowy Inspektorat Weterynarii w Nowym Mieście Lubawskim;warmińsko-mazurskie;nowomiejski;Nowe Miasto Lubawskie;Jagiellońska;24h;13-300;(56)474-24-23 ;;(56)474-24-23 w. 102;;nowemiastolub.piw@piwnml.pl;;www.piw-nowemiastolubawskie.4bip.pl;53.4176;19.5919
1638.;Powiatowy Inspektorat Weterynarii w Gołdapi;warmińsko-mazurskie;gołdapski;Gołdap;Wojska Polskiego;17a;19-500;(87)444-50-30;;(87)444-50-31;;piw@goldap.piw.gov.pl;;www.goldap.piw.gov.pl;54.3008;22.299
1639.;Powiatowy Inspektorat Weterynarii w Olecku;warmińsko-mazurskie;olecki;Olecko;Leśna;40;19-400;(87)520-21-48;;(87)520-22-30;;piw@olecko.piw.gov.pl;;www.olecko.piw.gov.pl;54.0438;22.4922
1640.;Powiatowy Inspektorat Weterynarii w Olsztynie;warmińsko-mazurskie;olsztyński;Olsztyn;Lubelska;16;10-404;(89)533-14-11;;(89)539-91-58;;plw@olsztyn.piw.gov.pl;;www.olsztyn.piw.gov.pl;53.7835;20.5038
1641.;Powiatowy Inspektorat Weterynarii w Ostródzie;warmińsko-mazurskie;ostródzki;Ostróda;Sienkiewicza;13;14-100;(89)646-59-73;;(89)646-59-73;;piw@ostroda.piw.gov.pl;;www.piw-ostroda.4bip.pl;53.7001;19.9645
1642.;Powiatowy Inspektorat Weterynarii w Piszu;warmińsko-mazurskie;piski;Pisz;Warszawska;38;12-200;(87)423-27-53;;(87)424-09-89;;pisz.piw@pisz.piw.gov.pl;;www.pisz.piw.gov.pl;53.6239;21.8132
1643.;Powiatowy Inspektorat Weterynarii w Szczytnie;warmińsko-mazurskie;szczycieński;Szczytno;Korczaka;1;12-100;(89)624-21-76;(89)624-16-05;(89)624-21-76;;piw@szczytno.piw.gov.pl;;www.szczytno.piw.gov.pl;53.5683;20.9990
1644.;Powiatowy Inspektorat Weterynarii w Węgorzewie;warmińsko-mazurskie;węgorzewski;Węgorzewo;Łuczańska;1;11-600;(87)427-58-81;;(87)427-58-81;;piw@wegorzewo.piw.gov.pl;;www.bip.wegorzewo.piw.gov.pl/;54.2028;21.7580
1645.;Wielkopolski Urząd Wojewódzki w Poznaniu;Wielkopolskie;;Poznań;al. Niepodległości;16/18;61-713;61 854 10 00;;61 852 73 27;;wuw@poznan.uw.gov.pl;;http://www.poznan.uw.gov.pl/;52.4106;16.9191
1646.;Komenda Wojewódzka Państwowej Straży Pożarnej w Poznaniu;Wielkopolskie;;Poznań;ul. Masztalarska;3;61-767;47 77 16 000;;61 22 20 500;;kancelaria@psp.wlkp.pl;;http://www.psp.wlkp.pl/;52.4103;16.9329
1647.;Komenda Wojewódzka Policji w Poznaniu;Wielkopolskie;;Poznań;ul. Kochanowskiego ;2a;60-844;47 77 138 18;;47 77 140 11;;kancelaria.komendanta@po.policja.gov.pl;;http://www.wielkopolska.policja.gov.pl/;52.4129;16.9103
1648.;Kuratorium Oświaty w Poznaniu;Wielkopolskie;;Poznań;ul. Kościuszki;93;61-716;61 670 40 81;;61 852 31 69;;kancelaria@ko.poznan.pl;;http://www.ko.poznan.pl/;52.4108;16.9198
1649.;Wojewódzki Inspektorat Farmaceutyczny w  Poznaniu;Wielkopolskie;;Poznań;ul. Szwajcarska;5;61-285;61 875 95 75;;61 875 95 87;;wif-sekretariat@poznan.uw.gov.pl;;http://wif.poznan.ibip.pl/public/;52.3887;16.9943
1650.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w  Poznaniu;Wielkopolskie;;Poznań;ul. Grunwaldzka;250b;60-166;61 860 59 11;;61 860 59 12;;wi-poznan@piorin.gov.pl;;http://piorin.gov.pl/wiorin/wielkopolskie/;52.3869;16.8480
1651.;Wojewódzki Inspektorat Nadzoru Budowlanego w Poznaniu;Wielkopolskie;;Poznań;al. Niepodległości ;16/18;61-713;61 854 11 54;;61 854 18 34;;winb-pn@poznan.uw.gov.pl;;http://winb.poznan.ibip.pl/public/;52.4106;16.9191
1652.;Wojewódzki Inspektorat Ochrony Środowiska w  Poznaniu;Wielkopolskie;;Poznań;ul. Czarna Rola ;4;61-625;61 827 05 00;;61 827 05 22;;sekretariat@poznan.wios.gov.pl;;http://poznan.wios.gov.pl/;52.4347;16.9458
1653.;Wojewódzki Inspektorat Inspekcji Handlowej w  Poznaniu;Wielkopolskie;;Poznań;al. Marcinkowskiego ;3;60-967;61 850 73 55;;61 851 75 76;;sekretariat@poznan.wiih.gov.pl;;http://poznan.wiih.gov.pl/cms/;52.4108;16.9298
1654.;Wojewódzki Inspektorat Jakości Handlowej Artykułów Rolno-Spożywczych w Poznaniu;Wielkopolskie;;Poznań;ul. Kazimierza Wielkiego ;24/26;61-863;61 851 03 45;;61 851 03 46;;wi_poznan@ijhars.gov.pl;;http://wijhars.poznan.ibip.pl/public/;52.4018;16.9392
1655.;Wojewódzki Inspektorat Weterynarii w  Poznaniu;Wielkopolskie;;Poznań;ul. Grunwaldzka;250;61-166;61 868 93 47;;61 868 45 31;;sekretariat@wiw.poznan.pl;;http://www.wiw.poznan.pl/;52.3876;16.8484
1656.;Wojewódzki Urząd Ochrony Zabytków w  Poznaniu;Wielkopolskie;;Poznań;ul. Gołębia;2;61-834;61 852 80 03;;61 852 80 02;;wuoz@poznan.wuoz.gov.pl;;http://poznan.wuoz.gov.pl/;52.4065;16.9337
1657.;Wojewódzki Inspektorat Transportu Drogowego w Poznaniu;Wielkopolskie;;Poznań;ul. Szwajcarska;5;61-285;61 656 77 11;;61 656 77 10;;witd@poznan.uw.gov.pl;;http://www.witdpoznan.pl/;52.3887;16.9943
1658.;Wojewódzka Stacja Sanitarno - Epidemiologiczna w  Poznaniu*;Wielkopolskie;;Poznań;ul. Noskowskiego;23;61-705;61 854 48 02;;61 852 50 03;;wsse.poznan@pis.gov.pl;sekretariat@wssepoznan.pl;www.wsse-poznan.pl;52.4134;16.9167
1659.;Komenda Miejska Państwowej Straży Pożarnej w Poznaniu;Wielkopolskie;;Poznań;ul. Bobrzańska;6a;61-248;61 222 03 00;;61 222 03 15;;strazpozarna@kmpsp.poznan.pl;;http://www.kmpsp.poznan.pl/;52.3866;16.9665
1660.;Komenda Powiatowa Państwowej Straży Pożarnej w Chodzieży;Wielkopolskie;chodzieski;Chodzież;ul. Marcinkowskiego;6;64-800;67 222 33 00;;67 222 33 16;;kppspchodziez@psp.wlkp.pl;;www.chodziez.psp.wlkp.pl;52.9885;16.9135
1661.;Komenda Powiatowa Państwowej Straży Pożarnej w Czarnkowie;Wielkopolskie;czarnkowsko-trzcianecki;Czarnków;ul. Ogrodowa;1;64 - 700;47 77 17 100;;67 255 34 20;;kppspczarnkow@psp.wlkp.pl;;www.straz.czarnkow.psp.wlkp.pl;52.9025;16.5620
1662.;Komenda Powiatowa Państwowej Straży Pożarnej w Gnieźnie;Wielkopolskie;gnieźnieński;Gniezno;ul. Chrobrego;22;62-200;47 771 72 00;;47 771 72 38 ;;kppspgniezno@psp.wlkp.pl;;www.gniezno.psp.wlkp.pl;52.5317;17.6059
