LP.  ,NAZWA                                                                                                                                                            ,ADRES                                                                    ,EMAIL                                                  ,TELEFON                           ,GODZINY SOBOTA ,                                                         ,WOJEWÓDZTWO
1259 ,AUTODIAGNOZA                                                                                                                                                     ,"ul. Kolejowa 31, 62-511 Kramsk"                                         ,oskp-kramsk@wp.pl                                      ,516 859 129                       ,               ,9:00-13:00                                               ,wielkopolskie
1260 ,Okręgowa Stacja Kontroli Pojazdów REDOS                                                                                                                          ,"ul. Kolejowa 31, 64-300 Nowy Tomyśl"                                    ,oskp@rodos.pl                                          ,614 452 410                       ,               ,9:00-13:00                                               ,wielkopolskie
1261 ,Auto-Moto.Stacja Kontroli Pojazdów. H. Sosnowski                                                                                                                 ,"ul. Kolejowa 75B, 64-965 Okonek"                                        ,                                                       ,672 669 153                       ,               ,8:00-14:00                                               ,wielkopolskie
1262 ,„JAN-POL” Stacja Kontroli Pojazdów                                                                                                                               ,"ul. Konińska 1, 62-700 Turek"                                           ,janpol7@tlen.pl                                        ,632 141 020                       ,               ,8:00-13:00                                               ,wielkopolskie
1263 ,AGROMAX Andrzej Perkowski                                                                                                                                        ,"ul. Konińska 45a, 62-560 Skulsk"                                        ,agromax-biuro@tlen.pl                                  ,63 268 21 28                      ,               ,7:00-13:00                                               ,wielkopolskie
1264 ,POL-MAG                                                                                                                                                          ,"ul. Konińska 93A, 62-585 Sławsk"                                        ,polmag.grodziec@wp.pl                                  ,632 684 057                       ,               ,8:00-13:00                                               ,wielkopolskie
1265 ,Auto Stańka spółka jawna                                                                                                                                         ,"ul. Kościuszki 10, 64-320 Buk"                                          ,autostanka@wp.pl                                       ,608 866 616                       ,               ,8:00-14:00                                               ,wielkopolskie
1266 ,Stacja Kontroli Pojazdów                                                                                                                                         ,"ul. Kościuszki 55, 62-100 Wągrowiec"                                    ,                                                       ,672 621 806                       ,               ,9:00-12:00                                               ,wielkopolskie
1267 ,Okręgowa Stacja Kontroli Pojazdów                                                                                                                                ,"ul. Koźmińska 124a, 63-700 Krotoszyn"                                   ,                                                       ,627 226 957                       ,               ,7:00-14:00                                               ,wielkopolskie
1268 ,"Z.P.H.U. „BUDO-TŁUMEX"""                                                                                                                                        ,"ul. Koźmińska 8, 63-440 Raszków"                                        ,budotlumex@poczta.onet.pl                              ,627 343 230                       ,               ,8:00-14:00                                               ,wielkopolskie
1269 ,PHU STACJA DIAGNOSTYCZNA SOSNOWSKI                                                                                                                               ,"ul. Kórnicka 18, 62-060 Stęszew"                                        ,biuro@stacjadiagnostyczna.com                          ,618 135 946                       ,               ,8:00-13:00                                               ,wielkopolskie
1270 ,Przedsiębiorstwo Motoryzacyjne POL-CAR Spółka z o.o.                                                                                                             ,"ul. Krotoszyńska 18, 63-400 Ostrów Wielkopolski"                        ,serwiso@pol-car.pl                                     ,627 355 055                       ,               ,8:00-14:00                                               ,wielkopolskie
1271 ,Okręgowa Stacja Kontroli Pojazdów -BOWIT                                                                                                                         ,"ul. Krotoszyńska 31, 63-720 Koźmin Wlkp."                               ,oskp@bowit.pl                                          ,666 177 666                       ,               ,8:00-14:00                                               ,wielkopolskie
1272 ,OSKP ANCARS                                                                                                                                                      ,"ul. Krotoszyńska 75, 63-410 Zacharzew"                                  ,ancars@o2.pl                                           ,627 356 480                       ,               ,7:00-15:00                                               ,wielkopolskie
1273 ,UNIMETAL Sp. z o.o                                                                                                                                               ,"ul. Kujańska 10, 77-400 Złotów"                                         ,skp@unimetal.pl                                        ,672 651 988                       ,               ,8:00-14:00                                               ,wielkopolskie
1274 ,"Okręgowa stacja kontroli pojazdów P.W Pieprzyk sp. z o.o."                                                                                                      ,"ul. Kurpińskiego 15, 63-900 Rawicz"                                     ,www.pieprzyk.pl                                        ,655 452 411                       ,               ,7:00-15:00                                               ,wielkopolskie
1275 ,Stacja Kontroli Pojazdów - Spot 1                                                                                                                                ,"ul. Kwiatkowskiego 1, 62-700 Turek"                                     ,diagnostyka@spot1.pl                                   ,791 241 241                       ,               ,7:00-15:00                                               ,wielkopolskie
1276 ,AUTO-STAŃKA SP. JAWNA                                                                                                                                            ,"ul. Kwiatowa 44B, 62-060 Stęszew"                                       ,autostanka@wp.pl                                       ,608 866 616                       ,               ,8:00-14:00                                               ,wielkopolskie
1277 ,TomAS-Lidia Ciepła                                                                                                                                               ,"ul. Lazurowa 2, 62-500 Konin"                                           ,cieply.tomasz@wp.pl                                    ,737 186 100                       ,               ,8:00-14:00                                               ,wielkopolskie
1278 ,PZM Gniezno                                                                                                                                                      ,"ul. Lecha 10a, 62-200 Gniezno"                                          ,gniezno@pzm.pl                                         ,614 261 554                       ,               ,9:00-13:00                                               ,wielkopolskie
1279 ,ŚMIGROL sp. z o.o.                                                                                                                                               ,"ul. Leszczyńska 16, 64-030 Śmigiel"                                     ,smigrol@smigrol.pl                                     ,655 180 070                       ,               ,8:00-13:00                                               ,wielkopolskie
1280 ,DIAGCAR                                                                                                                                                          ,"ul. Lipowa 57, 64-500 Kępa"                                             ,rcar@onet.eu                                           ,536 536 600                       ,               ,8:00-14:00                                               ,wielkopolskie
1281 ,"""BRYF"""                                                                                                                                                       ,"ul. Lipowa 72, 64-212 Siedlec"                                          ,                                                       ,683 848 411                       ,               ,8:00-13:00                                               ,wielkopolskie
1282 ,Eurowarsztat Kaczmarek                                                                                                                                           ,"ul. Łacnowa 48, 63-760 Zduny"                                           ,kamarian@wp.pl                                         ,602 831 703                       ,               ,8:00-13:00                                               ,wielkopolskie
1283 ,PZM Kalisz                                                                                                                                                       ,"ul. Łódzka 97, 62-800 Kalisz"                                           ,kalisz@pzm.pl                                          ,627 571 418                       ,               ,7:00-13:00                                               ,wielkopolskie
1284 ,"Stacja kontroli „ HERU Marchewka"""                                                                                                                             ,"ul. Łukowska 14, 64-600 Oborniki"                                       ,tomi78@poczta.fm                                       ,616 708 135                       ,               ,8:00-14:00                                               ,wielkopolskie
1285 ,„Karwin” s.c.                                                                                                                                                    ,"ul. M. Konopnickiej 18, 62-840 Koźminek"                                ,karwinsc@gmail.com                                     ,692 837 684                       ,               ,8:00-14:00                                               ,wielkopolskie
1286 ,MAG-MAX Magdalena Leśniak                                                                                                                                        ,"ul. Majkowska 10 – 14, 62 – 800 Kalisz"                                 ,skp.majkowska@wp.pl                                    ,607 886 863                       ,               ,8:00-14:00                                               ,wielkopolskie
1287 ,DIAGCAR                                                                                                                                                          ,"ul. Marszewska 67, 63-300 Pleszew"                                      ,                                                       ,692 272 522                       ,               ,7:00-14:00                                               ,wielkopolskie
1288 ,MATT Automotive -OSKP                                                                                                                                            ,"ul. Matowa 2, 62-052 Komorniki"                                         ,biuro@matt.pl                                          ,616 395 947                       ,               ,8:00-13:00                                               ,wielkopolskie
1289 ,Firma Stanisław Markowski sp.z.o.o                                                                                                                               ,"ul. Mickiewicza 1A, 64-010 Lubiń"                                       ,oskp014.markowski@gmail.com                            ,655 110 029                       ,               ,8:00-13:00                                               ,wielkopolskie
1290 ,Walczak Centrum Motoryzacji                                                                                                                                      ,"ul. Mieczysława Niedziałkowskiego 39, 63-000 Środa Wlkp."               ,autoserwiswalczak@gmail.com                            ,881 962 999                       ,               ,7:00-15:00                                               ,wielkopolskie
1291 ,Turkon                                                                                                                                                           ,"ul. Milewskiego 10E, 62-700 Turek"                                      ,durek47@op.pl                                          ,632 141 100                       ,               ,8:00-17:00                                               ,wielkopolskie
1292 ,Firma AutoJasiak                                                                                                                                                 ,"ul. Młyńska 9A, 63-600 Kępno"                                           ,skp@autojasik.pl                                       ,627 822 736                       ,               ,7:00-13:00                                               ,wielkopolskie
1293 ,"""Dawid i Syn"" Gajewska Natalia"                                                                                                                               ,"ul. Mogileńska 1, 62-240 Trzemeszno"                                    ,                                                       ,614 290 157                       ,               ,8:00-12:30                                               ,wielkopolskie
1294 ,SKP Twardy Tomasz TOMEX                                                                                                                                          ,"ul. Moniuszki 1A, 63-940 Gołaszyn"                                      ,twardy.bojanowo@interia.pl                             ,603 720 710                       ,               ,9:00-13:00                                               ,wielkopolskie
1295 ,SKP STAPIGO                                                                                                                                                      ,"ul. Morasko 1, 61–680 Poznań"                                           ,biuro@stapigo.pl                                       ,783 206 969                       ,               ,9:00-14:00                                               ,wielkopolskie
1296 ,Auto Complex Skorupka                                                                                                                                            ,"ul. Mostowa 6, 62-310 Pyzdry"                                           ,autogaz-partner@wp.pl                                  ,604 992 402                       ,               ,7:00-14:00                                               ,wielkopolskie
1297 ,AUTO-POM                                                                                                                                                         ,"ul. Nadbrzeżna 1,62-510 Konin"                                          ,auto-pom@konin.home.pl                                 ,632 428 274                       ,               ,8:00-14:00                                               ,wielkopolskie
1298 ,Auto – Service Tomasz Kubera                                                                                                                                     ,"ul. Namysłowska 7, Bralin 63-640"                                       ,tkubera@o2.pl                                          ,627 812 468                       ,               ,7:00-13:00                                               ,wielkopolskie
1299 ,TOTEM SP. Z O.O.                                                                                                                                                 ,"ul. Niepodległości 2, 63-130 Książ Wielkopolski"                        ,skpsrem@totem.info.pl                                  ,"504102055, 612834829"            ,               ,8:00-14:00                                               ,wielkopolskie
1300 ,SYLKOM Stacja Kontroli Pojazdów                                                                                                                                  ,"ul. Nowotomyska 131, 62-065 Grodzisk Wlkp."                             ,biuro@sylkom.pl                                        ,614 447 438                       ,               ,8:00-13:00                                               ,wielkopolskie
1301 ,Okręgowa Stacja Kontroli Pojazdów TOTEM Sp. z o.o.                                                                                                               ,"ul. Nowowiejskiego 3, 63-100 Śrem"                                      ,skpsrem@totem.info.pl                                  ,612 834 829                       ,               ,8:00-14:00                                               ,wielkopolskie
1302 ,G.P. Stacja Kontroli Pojazdów s.c.                                                                                                                               ,"ul. Nowy Świat 40-42, 62-800 Kalisz"                                    ,agnieszka.durden@gmail.com                             ,601 915 131                       ,               ,8:00-13:00                                               ,wielkopolskie
1303 ,Okręgowa Stacja Kontroli Pojazdów w Poznaniu                                                                                                                     ,"ul. Obodrzycka 73, 61-249 Poznań"                                       ,servis.poznan@grupadbk.com                             ,"616 606 280, 886 047 736"        ,               ,8:00-14:00                                               ,wielkopolskie
1304 ,Okręgowa Stacja Kontroli Pojazdów                                                                                                                                ,"ul. Ogrodowa 15, 62-330 Nekla"                                          ,biuro@firmaszczepaniak.pl                              ,614 386 390                       ,               ,8:00-14:00                                               ,wielkopolskie
1305 ,WULKANEX                                                                                                                                                         ,"ul. Ogrodowa 27, 62-517 Stare Miasto,"                                  ,wulkanex@op.pl                                         ,632 442 272                       ,               ,7:00-18:00                                               ,wielkopolskie
1306 ,"OSKP Ziętek, Grzycki s.c."                                                                                                                                      ,"ul. Okręg Międzychodzki 7, 64-410 Sieraków"                             ,pmi05@diagnosta.pl                                     ,612 952 122                       ,               ,8:00-13:00                                               ,wielkopolskie
1307 ,"Stacja Kontroli Pojazdów s.c. Z. Spławski, S. Baranowski, H. Baranowska"                                                                                        ,"ul. Omańkowskiej 90, 60-465 Poznań"                                     ,po29@diagnosta.pl                                      ,616 566 045                       ,               ,8:00-14:00                                               ,wielkopolskie
1308 ,PPHU NASCAR                                                                                                                                                      ,"ul. Ostrowska 157, 63-700 Krotoszyn"                                    ,nascar@premio.pl                                       ,627 226 848                       ,               ,8:00-14:00                                               ,wielkopolskie
1309 ,MOTO-WIS                                                                                                                                                         ,"ul. Ostrowska 2, 63-460 Skalmierzyce"                                   ,skp1@onet.pl                                           ,608 697 777                       ,               ,7:30-11:30                                               ,wielkopolskie
1310 ,Auto Serwis Grzegorz Właśniak                                                                                                                                    ,"ul. Ostrowska 221, 63-700 Krotoszyn"                                    ,                                                       ,669 999 679                       ,               ,8:00-12:00                                               ,wielkopolskie
1311 ,"P.H.""Bis-Bel"" Marian Belter"                                                                                                                                  ,"ul. Padarewskiego 24, 62-270 Kłecko"                                    ,                                                       ,614 270 124                       ,               ,8:00-14:00                                               ,wielkopolskie
1312 ,DAGER                                                                                                                                                            ,"ul. Parkowa 1, 63-708 Rozdrażew"                                        ,                                                       ,602 184 023                       ,               ,8:00-13:00                                               ,wielkopolskie
1313 ,PSKP Zbigniew Andrzejak                                                                                                                                          ,"ul. Parkowa 1A, 62-513 Brzeźno"                                         ,skpbrzezno@wp.pl                                       ,632 407 501                       ,               ,7:00-15:00                                               ,wielkopolskie
1314 ,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE TRANSKOM"                                                                                                                        ,"ul. Piaskowa 1, 62-028 Koziegłowy"                                      ,skp@transkom.com                                       ,616 514 755                       ,               ,6:00-14:00                                               ,wielkopolskie
1315 ,Halina Czwajda-były POM                                                                                                                                          ,ul. Piastów 16 62-302 Września                                           ,sewtom@interia.pl                                      ,512 039 275                       ,               ,8:00-13:00                                               ,wielkopolskie
1316 ,TOYOTA UKLEJA                                                                                                                                                    ,"ul. Pilska 45, 64-850 UJŚCIE"                                           ,recepcja.ujście@toyota.ukleja.pl                       ,672 105 100                       ,               ,7:00-13:00                                               ,wielkopolskie
1317 ,Japan& German Okręgowa                                                                                                                                           ,"ul. Piłsudskiego 36B, 64-610 Rogoźno"                                   ,japangerman@poczta.onet.pl                             ,672 684 170                       ,               ,8:00-14:00                                               ,wielkopolskie
1318 ,Stacja Kontroli Pojazdów TOYOTA                                                                                                                                  ,"ul. Piłsudskiego 4, 64-100 Leszno"                                      ,037@toyota-polska.pl                                   ,65 529 63 123                     ,               ,8:00-14:00                                               ,wielkopolskie
1319 ,SKP TOYOTA BOŃKOWSCY                                                                                                                                             ,"ul. Platynowa 2, 62-052 Komorniki"                                      ,mensfeld@bonkowscy.pl                                  ,618 494 500                       ,               ,8:00-14:00                                               ,wielkopolskie
1320 ,OSKP Ludwik Plamowski                                                                                                                                            ,"ul. Platynowa 4, 62-613 Osiek Mały"                                     ,plamowt@wp.pl                                          ,693 391 120                       ,               ,8:00-13:00                                               ,wielkopolskie
1321 ,"Przedsiębiorstwo Motoryzacyjne Auto Service Rondo sp. z o.o."                                                                                                   ,"ul. Podmiejska 22, 62-800 Kalisz"                                       ,biuro@rondo.pl                                         ,627 664 547                       ,               ,7:00-14:00                                               ,wielkopolskie
1322 ,WTL SPÓŁKA Z O.O.                                                                                                                                                ,"ul. Polna 3 Dąbrówka, 62-070 Dopiewo"                                   ,biuro@stacjakontrolicel.pl                             ,666 080 217                       ,               ,8:00-15:00                                               ,wielkopolskie
1323 ,"GS ""SCh"" w Pępowie"                                                                                                                                           ,"ul. Polna 42, 63-800 Gostyń"                                            ,skpgostyn@poczta.pl                                    ,655 751 510                       ,               ,8:00-13:00                                               ,wielkopolskie
1324 ,"SPÓŁDZIELNIA ROLNICZO- HANDLOWA ""ROLNIK"""                                                                                                                     ,"ul. Polna 5, 62-095 Murowana Goślina"                                   ,piekarnia@srrolnik.pl                                  ,618 122 289                       ,               ,9:00-13:00                                               ,wielkopolskie
1325 ,Bosch Car Service Werno Diagnostyka                                                                                                                              ,"ul. Powst. Wlkp. 5, 63-900 Rawicz"                                      ,www.wernodiagnostyka.pl                                ,605 537 597                       ,               ,7:00-15:00                                               ,wielkopolskie
1326 ,MARPOL                                                                                                                                                           ,"ul. Powstańców 61, 63-930 Jutrosin"                                     ,marpol1974@wp.pl                                       ,608 782 446                       ,               ,8:00-13:00                                               ,wielkopolskie
1327 ,Stanisław Adamczak SKP                                                                                                                                           ,"ul. Powstańców Wielkopolskich 8, 64-234 Przemęt"                        ,                                                       ,609 621 899                       ,               ,8:00-14:00                                               ,wielkopolskie
1328 ,Autoserwis Walczak Okręgowa Stacja Kontroli Pojzadów                                                                                                             ,"ul. Powstańców Wlkp. 1a, 63-200 Jarocin"                                ,autoserwiswalczak@gmail.com                            ,627 473 715                       ,               ,7:00-15:00                                               ,wielkopolskie
1329 ,"GS ""SCh"" w Pępowie"                                                                                                                                           ,"ul. Powstańców Wlkp. 40, 63-830 Pępowo"                                 ,oskp.pepowo@onet.eu                                    ,655 736 345                       ,               ,8:00-12:00                                               ,wielkopolskie
1330 ,AUTO-SZYK OSKP                                                                                                                                                   ,"ul. Powstańców Wlkp. 48, 62-030 Luboń"                                  ,stacja-kontroli-pojazdow-lubon.pl                      ,618 139 002                       ,               ,8:00-13:00                                               ,wielkopolskie
1331 ,TURBO                                                                                                                                                            ,"ul. Poznańska 47, 62-510 Konin"                                         ,skpturbo@wp.pl                                         ,632 491 171                       ,               ,8:00-13:00                                               ,wielkopolskie
1332 ,GRUPA AUTO                                                                                                                                                       ,"ul. Poznańska 48, 62-510 Konin"                                         ,kkarloss@wp.pl                                         ,632 454 435                       ,               ,7:00-14:00                                               ,wielkopolskie
1333 ,Okręgowa Stacja Kontroli Pojazdów                                                                                                                                ,"ul. Poznańska 56, 62-005 Bolechowo"                                     ,piotr.blachowiak@lagservice.eu                         ,618 920 952                       ,               ,8:00-14:00                                               ,wielkopolskie
1334 ,"AUTO MOTO ""DANUTA"""                                                                                                                                           ,"ul. Poznańska 6, 64-400 Międzychód"                                     ,skp.miedzychod@gmail.com                               ,957 482 891                       ,               ,8:00-13:00                                               ,wielkopolskie
1335 ,OSKP                                                                                                                                                             ,"ul. Poznańska 60, 64-530 Kaźmierz"                                      ,oskpkazmierz@wp.pl                                     ,695 118 623                       ,               ,7:00-14:00                                               ,wielkopolskie
1336 ,AUTOMOBILE TORINO                                                                                                                                                ,"ul. Poznańska 72A, 62-510 Konin"                                        ,krzysztof.lukasik@automobiletorino.pl                  ,632 497 609                       ,               ,8:00-14:00                                               ,wielkopolskie
1337 ,CARSERWIS sp.z o.o.                                                                                                                                              ,"ul. Północna 42, 64-000 Kościan"                                        ,carserwis@op.pl                                        ,655 119 590                       ,               ,8:00-13:00                                               ,wielkopolskie
1338 ,MATT sp.j.                                                                                                                                                       ,"ul. Północna 44, 64-000 Kościan"                                        ,"biuro@matt.pl, matt@matt.pl"                          ,"655 117 045, 5121259"            ,               ,8:00-13:00                                               ,wielkopolskie
1339 ,FUDIM Stacja Kontroli Pojazdów                                                                                                                                   ,"ul. Przemysłowa 10, 62-070 Zakrzewo"                                    ,l.wawrzyniak@fudim.pl                                  ,509 985 118                       ,               ,8:00-14:00                                               ,wielkopolskie
1340 ,Auto- Części Witold Borkowski                                                                                                                                    ,"ul. Przemysłowa 4, 64-00 Kościan"                                       ,borkowskiwitold@wp.pl                                  ,515 188 335                       ,               ,8:00-13:00                                               ,wielkopolskie
1341 ,PHU Diagnostyka i naprawy Andrzej Gierlik                                                                                                                        ,"ul. Przyjemskiego 17, 63-900 Rawicz"                                    ,diagnostyka.gierlik@wp.pl                              ,607 302 652                       ,               ,7:00-13:00                                               ,wielkopolskie
1342 ,Bosch Car Service Grzeskowiak-Pietrzak                                                                                                                           ,"ul. Przyjemskiego 36, 63-900 Rawicz"                                    ,grzeskowiak-pietrzak@bosch-service.pl                  ,655 464 926                       ,               ,9:00-13:00                                               ,wielkopolskie
1343 ,OSKP Edmund Bosy                                                                                                                                                 ,"ul. Rakoniewicka 14, 64-050 Wielichowo"                                 ,e.bosy@wp.pl                                           ,614 442 315                       ,               ,8:00-14:00                                               ,wielkopolskie
1344 ,PSKP RAFAŁ NOWAKOWSKI                                                                                                                                            ,"ul. Rokietnicka 26, 62-080 Tarnowo Podgórne"                            ,stacjatarnowo@o2.pl                                    ,618 147 175                       ,               ,8:00-14:00                                               ,wielkopolskie
1345 ,Zakład Handlowo Usługowy Mirosław SILSKI                                                                                                                         ,"ul. Roosevelta 83a, 62-200 Gniezno"                                     ,biuro_silski@op.pl                                     ,604 346 992                       ,               ,8:00-14:00                                               ,wielkopolskie
1346 ,OSKP Gabriel Twardy                                                                                                                                              ,"ul. Rzemieślnicza 16, 63-900 Sierakowo"                                 ,twardy.bojanowo@interia.pl                             ,609 910 690                       ,               ,8:00-13:00                                               ,wielkopolskie
1347 ,"Okręgowa stacja kontroli pojazdów P.W Pieprzyk sp. z o.o."                                                                                                      ,"ul. Sarnowska 18, 63-900 Rawicz"                                        ,www.pieprzyk.pl                                        ,655 467 206                       ,               ,7:00-13:00                                               ,wielkopolskie
1348 ,PW Pawlicki Okręgowa Stacja Kontroli Pojazdów                                                                                                                    ,"ul. Sikorskiego 102, 63-100 Psarskie"                                   ,biuro@pwpawlicki.pl                                    ,618 855 400                       ,               ,7:00-15:00                                               ,wielkopolskie
1349 ,"Łabój, PHU. Łabój B."                                                                                                                                           ,"ul. Słoneczna 23, 64-800 Chodzież"                                      ,                                                       ,602 123 714                       ,               ,8:00-14:00                                               ,wielkopolskie
1350 ,"""DRZEWIECKI MOBILE"" STACJA KONTROLI POJAZDÓW"                                                                                                                 ,"ul. Słoneczna 2a, 62-240 Trzemeszno"                                    ,drzewask@op.pl                                         ,605 09 916                        ,               ,8:00-14:00                                               ,wielkopolskie
1351 ,AUTO - TRAF S.C.                                                                                                                                                 ,"ul. Słowackiego 18, 63-510 Mikstat"                                     ,marek19671@poczta.onet.pl                              ,604 794 031                       ,               ,8:00-12:00                                               ,wielkopolskie
1352 ,Stacja kontroli pojazdów                                                                                                                                         ,"ul. Solidarności 19, 63-200 Jarocin"                                    ,                                                       ,794 697 661                       ,               ,8:00-14:00                                               ,wielkopolskie
1353 ,JANWIX                                                                                                                                                           ,"ul. Solna 10 a, 62-500 Konin"                                           ,pawciokonin@gmail.com                                  ,632 451 767                       ,               ,8:00-14:00                                               ,wielkopolskie
1354 ,ZAKŁAD USŁUG KOMUNALNYCH SP.Z O.O. W MOSINIE                                                                                                                     ,"ul. Sowiniecka 6G, 62-050 Mosina"                                       ,dto@zukmosina.pl                                       ,500 120 670                       ,               ,7:00-14:00                                               ,wielkopolskie
1355 ,TELEKON                                                                                                                                                          ,"ul. Spółdzielców 12, 62-510 Konin"                                      ,skp0527@patronat.pl                                    ,632 422 130                       ,               ,8:00-14:00                                               ,wielkopolskie
1356 ,DOMCAR                                                                                                                                                           ,"ul. Spółdzielców 9a, 62-510 Konin"                                      ,serwis@domcar.pl                                       ,632 422 088                       ,               ,8:00-15:00                                               ,wielkopolskie
1357 ,BGW                                                                                                                                                              ,"ul. Staszica 27, 64-600 Oborniki"                                       ,biuro@bgw.pl                                           ,612 973 333                       ,               ,8:00-14:00                                               ,wielkopolskie
1358 ,STACJA KONTROLI POJAZDÓW AUTOHELP                                                                                                                                ,"ul. Stefańskiego 2, 62-002 Suchy Las"                                   ,skp@autohelp.pl                                        ,501 008 736                       ,               ,8:00-14:00                                               ,wielkopolskie
1359 ,Stacja Kontroli Pojazdów Adam Mikołajczak                                                                                                                        ,"ul. Strzałkowska 37, 62-230 Witkowo"                                    ,adam20101993@wp.pl                                     ,606 326 387                       ,               ,8:00-14:00                                               ,wielkopolskie
1360 ,"Ratmech Mechanika Pojazdowa Okręgowa Stacja Kontroli Pojazdów"                                                                                                  ,"ul. Strzelecka 1, 63-430 Odolanów"                                      ,ratmech@poczta.fm                                      ,501 137 788                       ,               ,8:00-14:00                                               ,wielkopolskie
1361 ,Firma D.M Jackowscy S.c. Stacja Kontroli Pojazdów                                                                                                                ,"ul. Strzelecka 2, 63-740 Kobylin"                                       ,                                                       ,508 088 739                       ,               ,8:00-13:00                                               ,wielkopolskie
1362 ,OSKP ANCARS                                                                                                                                                      ,"ul. Strzelecka 57, 63-400 Ostrów Wlkp."                                 ,ancars@o2.pl                                           ,627 361 900                       ,               ,7:00-15:00                                               ,wielkopolskie
1363 ,OSKP ENEA SERWIS                                                                                                                                                 ,"ul. Strzeszyńska 58, 60-479 Poznań"                                     ,www.enea.pl                                            ,601 706 203                       ,               ,Poniedziałek - piątek 6:30-18:00                         ,wielkopolskie
1364 ,SKP Bosch Service Maciejewski                                                                                                                                    ,"ul. Swarzędzka 63, 62-006 Gruszczyn"                                    ,maciejewski@bosch-service.pl                           ,573 133 024                       ,               ,8:00-13:00                                               ,wielkopolskie
1365 ,PSKP                                                                                                                                                             ,"ul. Sypniewo 4, 61- 327 Poznań"                                         ,po47@diagnosta.pl                                      ,618 788 906                       ,               ,6:00-22:00                                               ,wielkopolskie
